status,is_udacity,is_canceled,join_date,account_key,cancel_date,days_to_cancel
canceled,True,True,2014-11-10 00:00:00,448,2015-01-14 00:00:00,65
canceled,True,True,2014-11-05 00:00:00,448,2014-11-10 00:00:00,5
canceled,True,True,2015-01-27 00:00:00,448,2015-01-27 00:00:00,0
canceled,True,True,2014-11-10 00:00:00,448,2014-11-10 00:00:00,0
current,True,False,2015-03-10 00:00:00,448,,
canceled,True,True,2015-01-14 00:00:00,448,2015-01-27 00:00:00,13
canceled,True,True,2015-01-27 00:00:00,448,2015-03-10 00:00:00,42
canceled,True,True,2015-01-27 00:00:00,448,2015-01-27 00:00:00,0
canceled,True,True,2015-01-27 00:00:00,448,2015-01-27 00:00:00,0
canceled,False,True,2014-11-10 00:00:00,700,2014-11-16 00:00:00,6
canceled,False,True,2014-11-10 00:00:00,429,2015-03-10 00:00:00,120
canceled,False,True,2015-03-10 00:00:00,429,2015-06-17 00:00:00,99
canceled,False,True,2014-11-10 00:00:00,60,2015-01-14 00:00:00,65
canceled,False,True,2015-01-14 00:00:00,60,2015-04-01 00:00:00,77
current,False,False,2015-04-01 00:00:00,60,,
canceled,False,True,2014-11-10 00:00:00,1300,2014-11-16 00:00:00,6
current,False,False,2014-11-10 00:00:00,369,,
canceled,False,True,2014-11-10 00:00:00,322,2015-02-02 00:00:00,84
canceled,False,True,2015-02-12 00:00:00,322,2015-02-12 00:00:00,0
canceled,False,True,2015-02-12 00:00:00,322,2015-03-10 00:00:00,26
current,False,False,2015-03-10 00:00:00,322,,
current,False,False,2014-11-10 00:00:00,336,,
current,False,False,2014-11-10 00:00:00,553,,
canceled,False,True,2014-11-10 00:00:00,584,2015-01-14 00:00:00,65
canceled,False,True,2015-01-14 00:00:00,584,2015-03-10 00:00:00,55
current,False,False,2015-03-10 00:00:00,584,,
canceled,False,True,2014-11-10 00:00:00,1006,2014-11-17 00:00:00,7
canceled,False,True,2014-11-10 00:00:00,458,2015-04-01 00:00:00,142
canceled,False,True,2015-04-04 00:00:00,458,2015-04-06 00:00:00,2
current,False,False,2015-04-06 00:00:00,458,,
canceled,False,True,2014-11-10 00:00:00,1058,2015-01-14 00:00:00,65
canceled,False,True,2015-01-14 00:00:00,1058,2015-03-10 00:00:00,55
current,False,False,2015-03-10 00:00:00,1058,,
current,False,False,2014-11-10 00:00:00,206,,
canceled,False,True,2014-11-10 00:00:00,45,2015-03-10 00:00:00,120
current,False,False,2015-03-10 00:00:00,45,,
canceled,False,True,2014-11-10 00:00:00,315,2015-05-17 00:00:00,188
current,False,False,2014-11-10 00:00:00,604,,
current,False,False,2014-11-10 00:00:00,204,,
canceled,False,True,2014-11-10 00:00:00,408,2015-03-10 00:00:00,120
canceled,False,True,2015-03-10 00:00:00,408,2015-04-01 00:00:00,22
canceled,False,True,2015-04-01 00:00:00,408,2015-04-17 00:00:00,16
